,Date,HomeTeam,AwayTeam,FTHG,FTAG,HGFAvg,HGAAvg,AGFAvg,AGAAvg
164,1996-12-14,Liverpool,Middlesbrough,5.0,1.0,2.0,1.0,0.6666666666666666,2.6666666666666665
165,1996-12-14,Wimbledon,Blackburn,1.0,0.0,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333
166,1996-12-15,Sunderland,Chelsea,3.0,0.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,2.0
167,1996-12-16,Derby,Everton,0.0,1.0,1.3333333333333333,1.0,1.6666666666666667,1.0
168,1996-12-17,Coventry,Newcastle,2.0,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0
169,1996-12-17,Liverpool,Nott'm Forest,4.0,2.0,3.0,1.3333333333333333,0.6666666666666666,2.3333333333333335
170,1996-12-18,Sheffield Weds,Man United,1.0,1.0,1.0,0.3333333333333333,1.6666666666666667,1.6666666666666667
171,1996-12-21,Chelsea,West Ham,3.0,1.0,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
172,1996-12-21,Everton,Leeds,0.0,0.0,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.0
173,1996-12-21,Leicester,Coventry,0.0,2.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333
174,1996-12-21,Man United,Sunderland,5.0,0.0,3.0,0.3333333333333333,1.0,2.6666666666666665
175,1996-12-21,Nott'm Forest,Arsenal,2.0,1.0,1.3333333333333333,1.0,1.0,1.3333333333333333
176,1996-12-21,Southampton,Derby,3.0,1.0,1.0,1.3333333333333333,1.3333333333333333,2.0
177,1996-12-21,Tottenham,Sheffield Weds,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
178,1996-12-22,Aston Villa,Wimbledon,5.0,0.0,2.3333333333333335,1.0,1.3333333333333333,2.3333333333333335
179,1996-12-23,Newcastle,Liverpool,1.0,1.0,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333
180,1996-12-26,Aston Villa,Chelsea,0.0,2.0,2.0,0.6666666666666666,0.6666666666666666,1.6666666666666667
181,1996-12-26,Blackburn,Newcastle,1.0,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
182,1996-12-26,Leeds,Coventry,1.0,3.0,1.0,1.0,2.0,1.0
183,1996-12-26,Liverpool,Leicester,1.0,1.0,3.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333
184,1996-12-26,Middlesbrough,Everton,4.0,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0
185,1996-12-26,Nott'm Forest,Man United,0.0,4.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0
186,1996-12-26,Sheffield Weds,Arsenal,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0
187,1996-12-26,Sunderland,Derby,2.0,0.0,2.0,1.0,1.0,2.3333333333333335
188,1996-12-26,Tottenham,Southampton,3.0,1.0,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665
189,1996-12-28,Arsenal,Aston Villa,2.0,2.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.6666666666666666
190,1996-12-28,Chelsea,Sheffield Weds,2.0,2.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.0
191,1996-12-28,Coventry,Middlesbrough,3.0,0.0,2.0,1.0,0.3333333333333333,3.0
192,1996-12-28,Derby,Blackburn,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
193,1996-12-28,Everton,Wimbledon,1.0,3.0,0.6666666666666666,2.0,2.0,2.3333333333333335
194,1996-12-28,Leicester,Nott'm Forest,2.0,2.0,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335
195,1996-12-28,Man United,Leeds,1.0,0.0,3.0,0.3333333333333333,0.0,0.3333333333333333
196,1996-12-28,Newcastle,Tottenham,7.0,1.0,3.0,1.3333333333333333,1.0,2.6666666666666665
197,1996-12-28,West Ham,Sunderland,2.0,0.0,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665
198,1996-12-29,Southampton,Liverpool,0.0,1.0,1.0,1.0,1.3333333333333333,0.3333333333333333
199,1997-01-01,Arsenal,Middlesbrough,2.0,0.0,2.0,1.3333333333333333,0.3333333333333333,3.3333333333333335
200,1997-01-01,Chelsea,Liverpool,1.0,0.0,2.0,1.0,0.6666666666666666,0.6666666666666666
201,1997-01-01,Coventry,Sunderland,2.0,2.0,2.3333333333333335,1.0,0.6666666666666666,3.0
202,1997-01-01,Everton,Blackburn,0.0,2.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333
203,1997-01-01,Man United,Aston Villa,0.0,0.0,2.0,0.0,1.0,0.6666666666666666
204,1997-01-01,Newcastle,Leeds,3.0,0.0,3.6666666666666665,0.6666666666666666,0.0,1.3333333333333333
205,1997-01-01,West Ham,Nott'm Forest,0.0,1.0,1.3333333333333333,1.0,1.6666666666666667,2.0
206,1997-11-01,Aston Villa,Newcastle,2.0,2.0,2.3333333333333335,1.3333333333333333,1.0,1.6666666666666667
207,1997-11-01,Blackburn,Coventry,4.0,0.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,1.6666666666666667
208,1997-11-01,Leeds,Leicester,3.0,0.0,1.3333333333333333,1.0,1.0,1.3333333333333333
209,1997-11-01,Liverpool,West Ham,0.0,0.0,1.6666666666666667,1.0,0.3333333333333333,1.0
210,1997-11-01,Middlesbrough,Southampton,0.0,1.0,1.3333333333333333,1.0,1.0,2.0
211,1997-11-01,Nott'm Forest,Chelsea,2.0,0.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667
212,1997-11-01,Sheffield Weds,Everton,2.0,1.0,1.0,0.6666666666666666,1.3333333333333333,2.0
213,1997-11-01,Sunderland,Arsenal,1.0,0.0,2.0,0.0,0.3333333333333333,1.0
214,1997-11-01,Wimbledon,Derby,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,2.0
215,1997-12-01,Tottenham,Man United,1.0,2.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.6666666666666666
216,1997-01-18,Chelsea,Derby,3.0,1.0,2.0,1.0,0.6666666666666666,2.0
217,1997-01-18,Coventry,Man United,0.0,2.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.3333333333333333
218,1997-01-18,Leicester,Wimbledon,1.0,0.0,1.0,1.3333333333333333,1.0,2.3333333333333335
219,1997-01-18,Liverpool,Aston Villa,3.0,0.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667
220,1997-01-18,Middlesbrough,Sheffield Weds,4.0,2.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,2.3333333333333335
221,1997-01-18,Southampton,Newcastle,2.0,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667
222,1997-01-18,Sunderland,Blackburn,0.0,0.0,1.0,0.0,0.6666666666666666,0.0
223,1997-01-19,Arsenal,Everton,3.0,1.0,2.3333333333333335,1.0,1.3333333333333333,3.0
224,1997-01-19,Nott'm Forest,Tottenham,2.0,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,3.0
225,1997-01-20,West Ham,Leeds,0.0,2.0,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333
226,1997-01-29,Aston Villa,Sheffield Weds,0.0,1.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0
227,1997-01-29,Leeds,Derby,0.0,0.0,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333
228,1997-01-29,Leicester,Sunderland,1.0,1.0,1.3333333333333333,1.0,1.0,1.6666666666666667
229,1997-01-29,Man United,Wimbledon,2.0,1.0,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333
230,1997-01-29,Newcastle,Everton,4.0,1.0,4.666666666666667,0.6666666666666666,1.0,3.0
231,1997-01-29,Nott'm Forest,Coventry,0.0,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667
232,1997-01-29,Tottenham,Blackburn,2.0,1.0,2.0,1.3333333333333333,1.0,0.6666666666666666
233,1997-01-29,West Ham,Arsenal,1.0,2.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666
234,1997-01-02,Aston Villa,Sunderland,1.0,0.0,1.0,1.0,1.0,1.3333333333333333
235,1997-01-02,Blackburn,West Ham,2.0,1.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.6666666666666667
236,1997-01-02,Derby,Liverpool,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
237,1997-01-02,Everton,Nott'm Forest,2.0,0.0,1.0,1.6666666666666667,1.0,1.3333333333333333
238,1997-01-02,Leeds,Arsenal,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666
239,1997-01-02,Man United,Southampton,2.0,1.0,1.3333333333333333,0.6666666666666666,1.0,1.6666666666666667
240,1997-01-02,Sheffield Weds,Coventry,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333
241,1997-01-02,Tottenham,Chelsea,1.0,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0
242,1997-01-02,Wimbledon,Middlesbrough,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,2.0
243,1997-02-02,Newcastle,Leicester,4.0,3.0,3.6666666666666665,1.3333333333333333,1.3333333333333333,2.6666666666666665
244,1997-02-15,Derby,West Ham,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
245,1997-02-15,Tottenham,Arsenal,0.0,0.0,1.0,1.0,0.6666666666666666,0.3333333333333333
246,1997-02-19,Arsenal,Man United,1.0,2.0,2.0,1.0,2.0,0.6666666666666666
247,1997-02-19,Aston Villa,Coventry,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
248,1997-02-19,Derby,Sheffield Weds,2.0,2.0,1.0,1.0,1.6666666666666667,2.0
