HomeTeamHomeForm,HomeTeamForm,HomeTeamSeasonWinPerc,AwayTeamAwayForm,AwayTeamForm,AwayTeamSeasonWinPerc,HomeElo,AwayElo,HomeGoals,AwayGoals
0.3333333333333333,0.2,0.5,0.3333333333333333,0.4,0.25,1652.14453125,1662.90771484,0,1
0.3333333333333333,0.0,0.5,0.3333333333333333,0.4,0.5,1601.20385742,1677.92407227,2,2
0.6666666666666666,0.6,0.5,0.3333333333333333,0.4,0.25,1695.79125977,1673.11462402,1,1
0.3333333333333333,0.6,0.5,0.0,0.4,0.0,1747.88012695,1610.80419922,0,2
0.6666666666666666,0.8,0.75,0.3333333333333333,0.6,0.5,1678.90258789,1695.41308594,4,0
0.3333333333333333,0.2,0.5,0.3333333333333333,0.6,0.5,1686.00708008,1723.75598145,0,0
0.3333333333333333,0.2,0.25,0.0,0.2,0.25,1708.51757812,1638.31445312,1,0
0.6666666666666666,0.4,0.5,0.0,0.0,0.25,1678.76818848,1603.61584473,3,0
0.3333333333333333,0.2,0.25,0.6666666666666666,0.8,0.75,1653.47607422,1839.3449707,2,3
0.3333333333333333,0.0,0.25,0.0,0.0,0.0,1578.44445801,1644.84094238,3,3
0.0,0.0,0.0,0.6666666666666666,0.2,0.75,1506.63549805,1686.2097168,1,3
0.3333333333333333,0.2,0.25,0.0,0.4,0.0,1584.92883301,1662.45141602,1,0
0.6666666666666666,0.2,0.5,0.3333333333333333,0.4,0.5,1680.78735352,1656.79345703,3,2
0.3333333333333333,0.6,0.25,0.0,0.0,0.25,1675.48669434,1589.30554199,1,1
1.0,0.4,0.8,0.6666666666666666,0.6,0.4,1725.12841797,1670.84729004,0,0
0.6666666666666666,0.4,0.6,0.3333333333333333,0.4,0.6,1654.6015625,1712.86853027,1,2
0.3333333333333333,0.2,0.4,0.0,0.0,0.0,1633.96350098,1577.88842773,1,1
0.3333333333333333,0.0,0.4,0.0,0.0,0.2,1684.63464355,1593.94494629,2,1
1.0,0.8,0.8,0.0,0.4,0.4,1844.76574707,1685.97973633,2,1
0.6666666666666666,0.6,0.6,0.3333333333333333,0.4,0.2,1629.7532959,1686.07556152,1,2
0.3333333333333333,0.2,0.2,0.3333333333333333,0.6,0.4,1648.05529785,1682.86486816,2,2
0.0,0.0,0.0,0.3333333333333333,0.4,0.4,1499.13598633,1651.60107422,1,1
0.3333333333333333,0.4,0.4,0.6666666666666666,0.4,0.4,1592.77880859,1728.93103027,0,0
0.0,0.0,0.4,0.6666666666666666,1.0,0.4,1596.30847168,1691.45080566,0,0
0.0,0.4,0.2,0.0,0.0,0.0,1693.70922852,1645.39685059,0,0
0.3333333333333333,0.2,0.4,0.0,0.4,0.0,1745.01647949,1657.58557129,1,0
0.3333333333333333,0.4,0.6,0.6666666666666666,0.8,0.8,1661.45959473,1849.72070312,0,1
1.0,0.8,0.8,0.6666666666666666,0.4,0.8,1703.02966309,1701.46325684,3,3
0.3333333333333333,0.4,0.2,0.0,0.2,0.4,1686.41223145,1700.05432129,1,1
0.3333333333333333,0.6,0.4,0.3333333333333333,0.4,0.2,1746.91101074,1605.7076416,0,0
0.0,0.0,0.0,0.0,0.4,0.4,1601.77111816,1740.87695312,0,0
0.6666666666666666,0.4,0.6,0.0,0.0,0.2,1706.29064941,1641.60095215,5,1
0.0,0.0,0.4,0.0,0.2,0.0,1660.88867188,1658.08850098,1,1
0.6666666666666666,0.4,0.6,0.0,0.0,0.0,1694.85693359,1512.52331543,1,1
